,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
106,nanortalik,60.14,31.93,84.0,68.0,11.23
107,kendari,-3.99,72.66,95.0,8.0,2.51
108,aklavik,68.22,13.24,92.0,90.0,5.82
109,vila franca do campo,37.72,62.6,88.0,20.0,2.06
110,melo,-32.37,70.54,46.0,8.0,16.49
111,ust-tsilma,65.44,29.68,85.0,92.0,7.54
112,pades,45.02,14.74,73.0,0.0,1.61
113,victoria,5.28,78.8,83.0,75.0,4.7
114,nioro,13.79,79.45,49.0,12.0,4.18
116,salinas,36.67,58.37,76.0,75.0,4.63
117,bethel,60.79,33.98,100.0,90.0,11.41
118,beian,63.66,30.2,68.0,75.0,12.75
119,lavrentiya,65.58,23.92,100.0,88.0,41.32
121,umm kaddadah,13.6,60.96,32.0,0.0,11.01
123,funtua,11.52,68.65,34.0,0.0,9.66
124,vardo,39.62,41.2,44.0,1.0,10.29
125,severo-kurilsk,50.68,29.1,100.0,68.0,13.13
126,mount gambier,-37.83,68.0,45.0,68.0,8.05
127,ponta do sol,-20.63,73.2,87.0,24.0,2.51
128,vilhena,-12.74,86.0,58.0,75.0,8.05
129,port blair,11.67,84.9,96.0,56.0,9.66
131,hobyo,5.35,77.88,90.0,44.0,9.1
132,thompson,55.74,-2.21,77.0,90.0,8.05
133,nkowakowa,-23.89,77.0,36.0,0.0,14.99
134,yellowknife,62.45,12.2,85.0,75.0,3.36
135,madras,44.63,25.88,58.0,40.0,5.82
136,hudson bay,52.86,10.15,78.0,44.0,4.41
137,sorong,-0.86,82.96,100.0,20.0,1.16
138,hobart,-42.88,69.8,46.0,0.0,12.75
139,notre dame,41.7,30.76,63.0,90.0,13.87
140,mvangue,2.97,71.31,93.0,8.0,3.06
141,solnechnyy,50.72,-29.86,48.0,0.0,2.62
142,kirovskiy,45.09,-4.43,53.0,36.0,6.42
143,bosaso,11.28,76.26,100.0,0.0,6.42
144,cherskiy,68.75,-31.34,54.0,24.0,2.73
145,le port,42.87,22.66,82.0,0.0,1.39
146,ancud,-41.87,75.2,25.0,0.0,11.41
147,padang,-0.92,76.12,100.0,92.0,7.2
148,kruisfontein,-34.0,65.59,88.0,88.0,20.29
149,nouadhibou,20.93,77.0,25.0,0.0,8.05
150,morant bay,17.88,89.6,52.0,20.0,3.36
151,porto belo,-27.15,74.23,69.0,75.0,10.29
152,bandarbeyla,9.49,80.08,100.0,92.0,9.44
153,carutapera,-1.2,79.68,90.0,92.0,1.72
154,rosario do sul,-30.26,74.95,40.0,64.0,11.12
155,katsuura,33.93,52.45,100.0,92.0,12.24
157,felipe carrillo puerto,19.58,79.18,79.0,56.0,6.53
158,omboue,-1.57,77.43,100.0,88.0,7.54
159,broome,52.47,54.45,87.0,90.0,13.87
160,manbij,36.53,46.4,93.0,75.0,3.36
161,saldanha,41.42,32.83,95.0,48.0,2.51
162,abu samrah,35.3,50.2,76.0,56.0,8.43
163,kodiak,39.95,28.11,36.0,40.0,9.17
164,ipixuna,-1.76,84.2,70.0,75.0,5.82
166,general roca,-39.03,69.8,43.0,0.0,3.36
167,hithadhoo,-0.6,83.14,100.0,80.0,9.55
168,denpasar,-8.65,78.8,94.0,75.0,11.41
169,yabrud,33.97,48.2,87.0,75.0,12.75
170,kasane,-17.8,71.76,74.0,48.0,3.62
171,atagay,55.1,-25.94,39.0,0.0,2.39
172,dikson,73.51,4.84,100.0,76.0,18.16
173,san patricio,-26.98,78.19,58.0,12.0,7.99
174,college,64.86,9.73,91.0,20.0,1.5
175,sokolo,14.74,73.33,27.0,0.0,10.78
176,hazorasp,41.32,37.4,69.0,80.0,4.7
178,eureka,40.8,54.93,66.0,1.0,2.95
179,sao filipe,14.9,74.28,99.0,0.0,12.68
180,veraval,49.65,53.01,87.0,90.0,11.41
181,lorengau,-2.02,83.68,100.0,0.0,5.75
182,karratha,-20.74,71.98,38.0,0.0,3.96
183,la tuque,47.44,21.94,82.0,88.0,3.74
184,port macquarie,-31.43,59.0,93.0,40.0,3.36
185,bodden town,19.28,84.2,70.0,40.0,23.04
187,champerico,16.38,86.0,42.0,20.0,2.39
188,cabo san lucas,22.89,82.4,51.0,75.0,9.17
189,zhigansk,66.77,-43.0,0.0,36.0,3.4
191,bonga,7.26,57.9,96.0,48.0,2.17
192,coihueco,-36.63,89.6,21.0,20.0,2.24
193,ribeira grande,38.52,64.4,88.0,40.0,8.05
194,wanning,48.64,35.6,100.0,75.0,2.24
195,naze,5.43,77.11,60.0,24.0,4.52
196,praia da vitoria,38.73,62.6,82.0,20.0,13.13
197,borogontsy,62.67,-32.33,56.0,68.0,2.62
198,kabare,-1.65,58.39,100.0,64.0,2.51
199,kisangani,0.52,77.43,84.0,68.0,3.74
200,port elizabeth,39.31,39.52,52.0,40.0,12.75
201,bilibino,68.06,-37.55,0.0,12.0,2.17
202,kamaishi,39.28,38.32,100.0,92.0,2.39
203,namatanai,-3.66,83.91,100.0,36.0,3.18
205,harper,30.3,57.96,93.0,90.0,10.29
206,braganca,-1.05,74.23,99.0,80.0,2.06
207,moose factory,51.26,-5.81,63.0,1.0,13.87
208,boueni,-12.9,82.4,83.0,75.0,3.36
209,kavieng,-2.57,85.12,100.0,0.0,5.41
210,barinas,8.64,88.18,58.0,0.0,7.76
211,namibe,-15.19,72.88,100.0,0.0,1.72
212,bilma,18.69,56.14,49.0,64.0,5.97
213,mezofalva,46.93,33.8,80.0,0.0,5.82
214,harer,42.19,21.2,73.0,90.0,3.62
215,iqaluit,63.75,-5.81,70.0,40.0,4.7
216,roma,41.89,53.73,87.0,0.0,3.36
218,aksarka,66.56,16.0,90.0,80.0,4.97
219,mahebourg,-20.41,75.2,88.0,20.0,4.7
220,castro,-42.48,75.2,25.0,0.0,11.41
221,guerrero negro,27.97,69.78,67.0,8.0,7.43
223,flinders,-34.58,51.8,100.0,0.0,4.7
224,alice town,25.72,73.96,100.0,0.0,14.81
225,chuy,-33.69,63.79,77.0,44.0,20.29
227,mikhaylov,54.23,24.91,95.0,92.0,5.19
228,mitsamiouli,-11.38,82.65,93.0,0.0,10.45
229,erenhot,43.65,-19.6,52.0,0.0,12.46
230,haines junction,60.75,13.53,82.0,64.0,2.73
231,norman wells,65.28,8.6,84.0,75.0,8.05
232,sawakin,19.1,65.46,100.0,0.0,6.64
233,qaqortoq,60.72,31.21,88.0,88.0,2.95
234,fortuna,38.18,54.5,82.0,0.0,4.7
236,pangkalanbuun,-2.68,73.11,98.0,56.0,2.62
237,radcliff,37.84,43.75,49.0,90.0,8.05
238,dingle,11.0,77.16,87.0,32.0,11.56
239,iralaya,15.0,80.62,85.0,80.0,9.66
240,sullana,-4.89,87.82,36.0,0.0,10.11
241,paramonga,-10.68,67.35,96.0,32.0,13.47
242,pevek,69.7,-3.8,100.0,44.0,5.75
243,saint-francois,46.42,53.6,87.0,90.0,6.93
244,kachiry,53.07,-13.48,63.0,20.0,5.19
245,srednekolymsk,67.46,-34.9,66.0,20.0,1.95
246,meulaboh,4.14,76.26,100.0,68.0,5.19
247,quang ngai,15.12,71.44,98.0,92.0,2.06
248,maumere,-8.63,82.33,100.0,0.0,4.63
249,dunedin,-45.87,56.91,71.0,0.0,3.62
250,tromso,69.65,30.81,97.0,90.0,3.36
251,arraial do cabo,-22.97,82.29,70.0,75.0,9.17
252,tanete,-3.94,73.78,97.0,24.0,3.51
253,hasaki,35.73,48.2,100.0,75.0,4.7
256,praia,-20.25,84.92,40.0,0.0,5.82
257,fukue,35.03,59.0,72.0,75.0,21.92
258,umirim,-3.68,75.22,95.0,68.0,0.94
259,talnakh,69.49,-8.21,64.0,48.0,9.78
260,miandrivazo,-19.53,69.15,97.0,76.0,3.06
261,tacuarembo,-31.73,71.17,47.0,8.0,12.46
262,aluksne,57.42,28.6,95.0,36.0,10.67
263,airai,-8.93,66.63,87.0,0.0,0.72
264,tuktoyaktuk,69.44,12.2,92.0,90.0,13.87
265,calabozo,8.92,91.96,40.0,20.0,14.58
266,umm lajj,25.02,65.05,100.0,48.0,4.07
267,biasca,46.36,36.61,92.0,12.0,1.61
268,ocampo,13.56,76.03,100.0,88.0,8.99
270,tiksi,71.64,-31.43,53.0,24.0,2.73
271,nampula,-15.12,79.9,54.0,12.0,6.2
272,pitimbu,-7.47,82.4,74.0,75.0,12.75
273,tumut,-35.3,64.24,79.0,0.0,4.07
274,touros,-5.2,86.0,70.0,75.0,17.22
275,farim,12.48,78.19,72.0,68.0,2.95
276,ilulissat,69.22,26.6,42.0,75.0,13.87
277,arman,59.7,19.78,72.0,76.0,15.03
278,tahe,52.34,-16.22,45.0,24.0,9.44
279,stony plain,53.53,12.09,67.0,1.0,5.82
280,gusino,54.72,22.84,93.0,56.0,3.96
281,san lorenzo,-25.34,91.4,36.0,75.0,4.7
282,damaturu,11.75,65.77,42.0,0.0,7.99
283,davidson,35.5,44.11,36.0,1.0,4.7
284,preobrazheniye,42.9,1.69,57.0,64.0,6.53
285,torbay,47.66,26.6,86.0,90.0,23.04
287,clyde river,70.47,-5.81,83.0,90.0,8.05
288,waddan,29.16,43.99,85.0,0.0,2.62
290,te anau,-45.41,56.77,70.0,0.0,3.51
292,klaksvik,62.23,44.6,87.0,12.0,13.87
293,afsin,38.25,28.78,87.0,44.0,2.73
294,saint george,39.45,39.2,69.0,20.0,6.93
295,necochea,-38.55,56.23,76.0,0.0,9.44
296,port augusta,-32.49,84.2,20.0,8.0,8.05
297,skjervoy,70.03,35.8,86.0,90.0,21.92
298,mercedes,-33.25,72.3,46.0,8.0,13.58
299,waitati,-45.75,56.91,71.0,0.0,3.62
300,oga,8.18,71.35,62.0,0.0,2.62
302,eenhana,-17.48,87.8,19.0,32.0,3.36
303,husavik,50.56,-6.32,87.0,0.0,7.09
304,henties bay,-22.12,59.43,100.0,64.0,6.64
305,mayumba,-3.44,78.1,100.0,92.0,1.16
306,vestmanna,62.16,44.6,87.0,24.0,13.87
307,port lincoln,-34.72,67.12,85.0,92.0,15.82
308,beloha,-25.17,73.33,81.0,0.0,14.58
309,nieuw amsterdam,5.88,75.52,88.0,40.0,11.41
310,syntul,55.0,24.19,95.0,92.0,3.4
311,mackay,53.65,11.3,78.0,5.0,4.7
312,lozova,48.89,31.53,100.0,92.0,4.97
313,warmbad,50.67,39.49,87.0,88.0,10.29
314,presidente venceslau,-21.88,93.2,24.0,40.0,12.75
315,port hedland,-20.31,75.2,88.0,0.0,6.93
316,xingyi,24.19,45.97,92.0,20.0,2.95
317,katobu,-4.94,79.9,100.0,0.0,1.72
318,atkinson,41.42,30.25,59.0,20.0,9.17
319,sitka,37.17,35.89,54.0,56.0,15.14
320,sur,22.57,72.7,100.0,0.0,5.64
322,comodoro rivadavia,-45.87,77.0,22.0,0.0,11.41
323,paracuru,-3.41,84.2,74.0,40.0,9.17
324,pacifica,37.61,57.6,51.0,1.0,8.05
325,luanda,-8.83,80.6,78.0,75.0,4.7
326,petropavlovsk-kamchatskiy,53.05,6.8,77.0,40.0,13.42
327,zemio,5.02,69.28,59.0,0.0,5.41
328,batagay,67.65,-54.29,0.0,12.0,2.62
329,baoding,38.86,4.66,70.0,0.0,3.18
330,puerto escondido,15.86,84.2,70.0,75.0,11.41
331,sovetskiy,56.76,14.88,82.0,56.0,8.55
332,okha,53.59,-4.61,100.0,48.0,22.19
333,bonthe,7.53,84.13,73.0,32.0,3.62
334,hofn,64.25,37.4,100.0,90.0,31.09
335,jiujiang,29.73,40.48,100.0,92.0,18.28
336,araouane,18.9,64.42,24.0,0.0,8.99
337,yar-sale,66.83,16.09,95.0,76.0,3.62
338,robertson,-33.8,56.73,78.0,92.0,3.06
339,kalianget,-7.35,70.9,99.0,48.0,2.39
340,saint-augustin,44.83,55.4,93.0,75.0,6.93
341,carballo,43.21,51.75,87.0,0.0,8.05
342,port moresby,-9.47,75.2,88.0,20.0,5.82
343,liverpool,53.41,53.2,82.0,75.0,9.17
344,trairi,-3.28,81.25,100.0,80.0,6.08
346,ligayan,4.65,83.86,100.0,44.0,3.06
347,angoche,-16.23,82.96,98.0,0.0,11.79
348,longyearbyen,78.22,30.2,74.0,75.0,11.41
349,ghanzi,-21.7,76.98,45.0,0.0,11.45
350,nova olimpia,-14.8,89.13,69.0,24.0,3.51
351,subtanjalla,-14.02,71.6,30.0,0.0,11.41
352,sao joaquim,-28.29,65.91,43.0,36.0,6.08
354,melfi,41.0,42.12,100.0,90.0,12.75
355,kenora,49.76,0.45,59.0,1.0,6.93
356,evanston,42.04,29.21,53.0,1.0,4.7
357,gizo,31.8,57.2,82.0,75.0,10.29
359,ca mau,9.18,80.08,91.0,80.0,6.98
360,kahului,20.89,75.83,66.0,20.0,14.99
361,cairns,-16.92,77.0,83.0,75.0,12.75
362,the valley,18.22,83.34,58.0,20.0,11.41
363,rio grande,-32.03,73.4,46.0,20.0,17.22
364,san luis,-33.3,76.35,41.0,0.0,8.66
367,hovd,63.83,26.73,85.0,0.0,9.17
368,broken hill,-31.97,80.6,28.0,8.0,14.99
369,montmagny,48.97,54.05,82.0,90.0,11.41
370,atbasar,51.81,-1.51,46.0,12.0,6.98
371,okhotsk,59.36,26.31,77.0,80.0,22.75
372,sao felix do xingu,-6.64,76.71,97.0,76.0,1.95
373,ozinki,51.2,22.66,90.0,92.0,10.67
374,elat,2.91,71.31,93.0,8.0,3.06
375,mirnyy,56.57,27.75,91.0,80.0,7.09
376,karpathos,35.51,53.6,66.0,36.0,40.26
377,markala,13.69,75.76,28.0,0.0,9.78
378,souillac,45.6,54.41,93.0,90.0,6.93
379,elko,40.83,30.02,68.0,1.0,3.51
380,laguna,27.52,71.6,53.0,90.0,2.24
381,jalu,29.03,52.36,91.0,0.0,7.2
383,egvekinot,66.32,-8.71,63.0,24.0,10.0
384,colac,-38.34,80.31,34.0,24.0,6.98
385,sobolevo,54.43,21.58,94.0,56.0,4.18
386,krutinka,56.01,11.5,90.0,64.0,8.1
387,neuquen,-38.95,69.8,43.0,0.0,3.36
388,nishihara,35.74,48.38,87.0,75.0,6.93
389,doha,25.29,71.58,83.0,0.0,6.93
390,nemuro,43.32,37.69,100.0,92.0,23.64
391,kaspiysk,42.88,41.0,100.0,40.0,6.71
392,mynay,48.59,30.2,80.0,76.0,4.41
394,san felipe,-32.75,65.55,60.0,36.0,1.61
395,semibratovo,57.3,24.8,100.0,90.0,5.64
397,acajutla,13.59,84.2,45.0,40.0,9.17
398,regente feijo,-22.22,93.2,24.0,40.0,12.75
399,mahanoro,-19.9,71.98,96.0,32.0,2.17
400,mikhaylovka,52.96,-25.18,37.0,8.0,1.5
401,saint-pierre,48.95,53.02,100.0,90.0,14.99
402,gao,16.28,68.92,37.0,0.0,8.77
403,valle de allende,26.94,69.37,32.0,68.0,2.06
405,milkovo,41.53,34.65,92.0,20.0,5.82
406,alyangula,-13.85,84.2,89.0,40.0,4.7
407,luan,46.36,46.4,93.0,90.0,5.82
408,marshall,39.39,34.41,88.0,90.0,9.17
409,santa cruz,36.97,57.43,67.0,1.0,3.18
410,lamar,38.09,28.04,62.0,90.0,5.82
411,margate,-43.03,69.8,46.0,0.0,12.75
412,syumsi,57.11,13.08,83.0,32.0,2.51
413,salalah,17.01,77.0,69.0,20.0,5.82
414,sorland,67.67,31.14,92.0,40.0,4.7
415,la ronge,55.1,14.0,85.0,90.0,6.93
416,faanui,-16.48,81.43,100.0,92.0,15.48
417,ojinaga,29.56,56.48,56.0,1.0,3.36
418,nguru,12.88,69.01,28.0,0.0,9.78
419,camacha,33.08,65.44,88.0,20.0,13.87
420,dom pedrito,-30.98,73.4,40.0,40.0,11.41
421,sagana,-0.67,59.65,98.0,56.0,1.16
422,shubarkuduk,49.15,19.83,75.0,92.0,15.03
423,beyneu,45.32,33.06,95.0,68.0,9.78
424,rawson,-43.3,80.62,27.0,0.0,4.97
425,waingapu,-9.65,74.32,100.0,80.0,3.18
426,cayenne,4.94,77.0,94.0,100.0,2.24
427,newport,51.59,54.34,100.0,90.0,11.41
428,pictou,45.68,23.16,100.0,8.0,4.18
429,oranjemund,-28.55,61.81,96.0,80.0,2.51
430,pundaguitan,6.37,82.15,100.0,76.0,7.43
431,erzin,36.95,56.44,93.0,75.0,3.36
432,pavlovsk,53.31,-7.61,76.0,20.0,2.95
433,roebourne,-20.77,71.98,38.0,0.0,3.96
434,nantucket,41.28,40.23,41.0,40.0,14.99
435,kabanjahe,3.1,65.28,100.0,92.0,0.38
436,muroto,33.37,52.54,100.0,92.0,8.21
437,komsomolskiy,67.55,21.67,93.0,92.0,14.03
438,cochrane,-47.25,68.0,42.0,75.0,16.11
439,mgandu,-5.96,73.56,56.0,76.0,9.78
440,khasan,42.43,8.26,100.0,8.0,18.72
441,dale,24.09,46.87,99.0,92.0,9.1
442,kaitangata,-46.28,58.39,74.0,0.0,11.23
443,awjilah,29.14,49.8,94.0,0.0,5.41
444,maldonado,-34.91,62.6,59.0,75.0,16.11
445,mandalgovi,45.76,-22.34,57.0,0.0,9.1
446,ust-omchug,61.13,-10.78,66.0,56.0,4.63
447,weligama,5.97,77.88,100.0,36.0,6.2
448,kango,0.19,74.86,97.0,92.0,1.72
450,trujillo,-8.11,73.4,73.0,20.0,11.41
451,kabo,7.69,75.9,37.0,0.0,8.1
453,raudeberg,61.99,31.98,100.0,75.0,24.16
454,blagoyevo,63.37,28.78,84.0,88.0,6.98
455,camacari,-12.7,84.2,83.0,20.0,16.11
456,mehamn,71.03,38.7,74.0,75.0,20.8
457,genhe,50.78,-23.6,63.0,20.0,8.77
458,jiaxing,30.76,42.8,87.0,75.0,11.18
459,sidi ali,36.1,46.24,91.0,0.0,2.06
460,garowe,8.41,72.7,79.0,0.0,10.78
461,caravelas,-17.73,80.35,100.0,32.0,9.78
462,grand gaube,-20.01,75.2,88.0,20.0,4.7
463,biltine,14.53,65.28,24.0,0.0,11.56
464,guilin,25.28,46.4,75.0,90.0,11.18
465,pareora,-44.49,57.18,89.0,0.0,3.62
466,yerbogachen,61.28,-20.0,57.0,68.0,7.09
467,bafata,12.17,78.37,77.0,48.0,2.51
468,madimba,4.42,82.4,88.0,40.0,13.24
469,worland,44.02,13.12,60.0,1.0,3.96
470,kokoda,-8.88,64.38,90.0,12.0,0.04
471,pingxiang,27.63,42.6,98.0,92.0,5.41
472,bereda,43.27,53.6,87.0,0.0,8.05
473,coquimbo,-29.95,68.0,64.0,0.0,14.99
474,funadhoo,6.15,80.76,100.0,56.0,5.97
475,mount isa,-20.73,77.0,57.0,0.0,8.05
476,aykhal,65.95,-11.54,72.0,64.0,3.96
477,yeppoon,-23.13,71.6,78.0,75.0,10.29
478,tshela,-4.99,76.48,87.0,32.0,3.96
479,hervey bay,-25.3,68.0,94.0,75.0,6.93
480,buta,2.79,76.57,51.0,8.0,4.18
481,nelson,49.49,16.36,66.0,48.0,2.17
482,esmeraldas,-19.76,84.18,54.0,40.0,6.93
484,podgornoye,57.79,-11.41,57.0,64.0,3.62
485,inhambane,-23.87,76.26,100.0,8.0,10.22
486,goderich,43.74,32.56,87.0,80.0,18.05
487,rocha,-34.48,63.16,51.0,0.0,14.7
488,save,8.04,75.0,53.0,0.0,4.52
489,quelimane,-17.88,80.6,88.0,20.0,8.05
490,dumas,21.09,76.66,100.0,8.0,6.53
491,ambatondrazaka,-17.82,63.61,96.0,44.0,2.17
492,kalabo,-15.0,74.55,64.0,36.0,6.08
493,tabas,33.6,43.5,51.0,64.0,5.53
494,mahon,51.89,51.8,93.0,75.0,11.41
495,duncan,34.5,49.3,62.0,90.0,10.29
496,vestmannaeyjar,63.44,43.05,98.0,92.0,13.24
497,port-gentil,-0.72,80.6,94.0,90.0,9.17
498,noyabrsk,63.2,9.93,83.0,92.0,12.46
499,tazovskiy,67.47,5.92,75.0,64.0,3.51
500,bowen,-20.01,71.6,94.0,75.0,12.75
501,abalak,15.46,65.86,32.0,0.0,10.11
502,cassia,28.89,66.31,42.0,1.0,4.7
503,berlevag,70.86,35.69,86.0,75.0,33.33
505,kathu,-27.7,65.01,65.0,0.0,0.72
507,bobcaygeon,44.54,32.0,75.0,90.0,4.7
508,batagay-alyta,67.8,-40.97,0.0,0.0,2.73
509,ust-nera,64.57,-21.58,84.0,64.0,2.06
510,shubarshi,48.59,18.93,82.0,92.0,13.58
511,stara vyzhivka,51.44,23.56,94.0,80.0,7.54
512,suixi,33.92,24.19,68.0,76.0,7.65
513,colomi,-17.34,62.71,49.0,48.0,2.95
514,pangnirtung,66.15,-2.86,72.0,48.0,5.97
515,puerto del rosario,28.5,70.81,60.0,0.0,10.29
516,lamu,0.57,72.48,100.0,20.0,1.95
517,sao jose da coroa grande,-8.9,80.13,80.0,24.0,9.66
518,amuntai,-2.42,74.41,97.0,24.0,2.06
519,buraydah,26.33,60.8,87.0,0.0,4.7
520,moscow,55.75,30.2,94.0,90.0,8.95
521,pesochnoye,58.01,25.68,93.0,92.0,4.63
522,cidreira,-30.17,69.82,65.0,64.0,13.13
523,adilabad,19.68,65.23,82.0,36.0,2.95
524,port hardy,50.7,30.2,100.0,75.0,2.24
525,atar,20.52,73.2,18.0,0.0,9.1
526,kysyl-syr,63.9,-29.81,49.0,36.0,2.95
527,panalingaan,8.78,80.08,95.0,56.0,7.43
529,benguela,-12.58,74.73,97.0,24.0,4.97
530,luderitz,-26.65,58.53,93.0,88.0,7.43
531,tacna,-18.01,74.21,47.0,75.0,11.41
532,turukhansk,65.8,-10.15,71.0,68.0,14.81
533,tual,-5.67,85.53,100.0,24.0,8.99
534,launceston,-41.43,57.2,87.0,44.0,1.12
535,bogande,12.97,69.28,31.0,0.0,7.65
537,mozarlandia,-14.74,80.71,84.0,80.0,4.18
538,marsa matruh,31.35,62.6,55.0,40.0,18.34
539,metro,-5.11,77.11,98.0,36.0,2.51
541,dzhebariki-khaya,62.22,-41.11,92.0,12.0,2.73
542,hambantota,6.12,78.37,100.0,68.0,5.19
543,makubetsu,42.84,26.44,100.0,76.0,6.76
544,knysna,-34.04,64.4,82.0,92.0,1.12
545,taltal,-25.41,67.66,53.0,20.0,3.62
546,jurm,36.86,13.93,70.0,80.0,1.61
547,savonlinna,61.87,30.2,86.0,90.0,3.36
549,mujiayingzi,42.12,-4.07,36.0,0.0,8.99
550,labuhan,-2.54,71.8,98.0,20.0,1.95
551,slave lake,55.28,19.4,73.0,1.0,14.99
552,guanare,9.04,88.27,55.0,32.0,5.53
553,misratah,32.38,59.29,100.0,32.0,3.74
554,lichinga,-13.3,73.4,73.0,75.0,2.24
555,tiarei,-17.53,86.0,66.0,75.0,18.34
556,mayo,63.59,-7.61,83.0,90.0,3.51
559,tayu,35.06,59.0,72.0,75.0,21.92
